Dokladnosc,Watki,PI,Czas
100000000,1,3.14159,0.299032
100000000,2,3.14159,0.154052
100000000,3,3.14159,0.106412
100000000,4,3.14159,0.0896526
100000000,5,3.14159,0.099175
100000000,6,3.14159,0.0887398
100000000,7,3.14159,0.088721
100000000,8,3.14159,0.106782
100000000,9,3.14159,0.0891979
100000000,10,3.14159,0.0903991
100000000,11,3.14159,0.0894245
100000000,12,3.14159,0.0999974
100000000,13,3.14159,0.166801
100000000,14,3.14159,0.180136
100000000,15,3.14159,0.108981
100000000,16,3.14159,0.0987713
100000000,17,3.14159,0.0975398
100000000,18,3.14159,0.106085
100000000,19,3.14159,0.092254
100000000,20,3.14159,0.0908927
100000000,21,3.14159,0.0945213
100000000,22,3.14159,0.102127
100000000,23,3.14159,0.0924123
100000000,24,3.14159,0.0961116
100000000,25,3.14159,0.0866381
100000000,26,3.14159,0.0943439
100000000,27,3.14159,0.113149
100000000,28,3.14159,0.0876666
100000000,29,3.14159,0.101484
100000000,30,3.14159,0.0847764
100000000,31,3.14159,0.0853258
100000000,32,3.14159,0.106279
100000000,33,3.14159,0.090236
100000000,34,3.14159,0.0858814
100000000,35,3.14159,0.0856244
100000000,36,3.14159,0.0803069
100000000,37,3.14159,0.0829498
100000000,38,3.14159,0.0933873
100000000,39,3.14159,0.0837846
100000000,40,3.14159,0.0841855
100000000,41,3.14159,0.0818752
100000000,42,3.14159,0.0933292
100000000,43,3.14159,0.0831099
100000000,44,3.14159,0.0891334
100000000,45,3.14159,0.086333
100000000,46,3.14159,0.0837479
100000000,47,3.14159,0.0841625
100000000,48,3.14159,0.0862693
100000000,49,3.14159,0.0836358
100000000,50,3.14159,0.0821381
1000000000,1,3.14159,2.80483
1000000000,2,3.14159,1.42458
1000000000,3,3.14159,1.0134
1000000000,4,3.14159,1.07473
1000000000,5,3.14159,0.984034
1000000000,6,3.14159,1.06549
1000000000,7,3.14159,1.26763
1000000000,8,3.14159,0.889985
1000000000,9,3.14159,0.806642
1000000000,10,3.14159,0.826336
1000000000,11,3.14159,0.897262
1000000000,12,3.14159,0.870928
1000000000,13,3.14159,0.820354
1000000000,14,3.14159,0.833115
1000000000,15,3.14159,0.883908
1000000000,16,3.14159,0.808352
1000000000,17,3.14159,0.82563
1000000000,18,3.14159,0.870358
1000000000,19,3.14159,0.838155
1000000000,20,3.14159,0.794495
1000000000,21,3.14159,0.845375
1000000000,22,3.14159,0.917784
1000000000,23,3.14159,0.839973
1000000000,24,3.14159,3.30258
1000000000,25,3.14159,0.82932
1000000000,26,3.14159,0.845393
1000000000,27,3.14159,0.885459
1000000000,28,3.14159,0.878161
1000000000,29,3.14159,0.898879
1000000000,30,3.14159,0.979605
1000000000,31,3.14159,0.829119
1000000000,32,3.14159,0.788519
1000000000,33,3.14159,0.802296
1000000000,34,3.14159,0.79228
1000000000,35,3.14159,0.801142
1000000000,36,3.14159,0.819813
1000000000,37,3.14159,0.812473
1000000000,38,3.14159,0.779021
1000000000,39,3.14159,0.803767
1000000000,40,3.14159,0.787356
1000000000,41,3.14159,0.816963
1000000000,42,3.14159,0.777348
1000000000,43,3.14159,0.787747
1000000000,44,3.14159,0.888218
1000000000,45,3.14159,0.798432
1000000000,46,3.14159,0.795673
1000000000,47,3.14159,0.780022
1000000000,48,3.14159,0.778353
1000000000,49,3.14159,0.794987
1000000000,50,3.14159,0.859771
3000000000,1,3.14159,0.00013066
3000000000,2,3.14159,0.000257064
3000000000,3,3.14159,0.000507199
3000000000,4,3.14159,0.000688143
3000000000,5,3.14159,0.000310714
3000000000,6,3.14159,0.000676661
3000000000,7,3.14159,0.00034912
3000000000,8,3.14159,0.00101915
3000000000,9,3.14159,0.00094303
3000000000,10,3.14159,0.000848994
3000000000,11,3.14159,0.00148309
3000000000,12,3.14159,0.00105469
3000000000,13,3.14159,0.00115515
3000000000,14,3.14159,0.00105746
3000000000,15,3.14159,0.00190071
3000000000,16,3.14159,0.00275109
3000000000,17,3.14159,0.0018329
3000000000,18,3.14159,0.00233931
3000000000,19,3.14159,0.00186557
3000000000,20,3.14159,0.00285483
3000000000,21,3.14159,0.00204246
3000000000,22,3.14159,0.00323483
3000000000,23,3.14159,0.00231892
3000000000,24,3.14159,0.00199405
3000000000,25,3.14159,0.00257757
3000000000,26,3.14159,0.00307516
3000000000,27,3.14159,0.00360097
3000000000,28,3.14159,0.0034614
3000000000,29,3.14159,0.00269041
3000000000,30,3.14159,0.00297618
3000000000,31,3.14159,0.00316564
3000000000,32,3.14159,0.00495746
3000000000,33,3.14159,0.00246215
3000000000,34,3.14159,0.00336093
3000000000,35,3.14159,0.00281652
3000000000,36,3.14159,0.00375202
3000000000,37,3.14159,0.00366521
3000000000,38,3.14159,0.00364977
3000000000,39,3.14159,0.00308714
3000000000,40,3.14159,0.00629713
3000000000,41,3.14159,0.00374292
3000000000,42,3.14159,0.0033834
3000000000,43,3.14159,0.00406601
3000000000,44,3.14159,0.00376014
3000000000,45,3.14159,0.00353931
3000000000,46,3.14159,0.00343112
3000000000,47,3.14159,0.00320583
3000000000,48,3.14159,0.00351703
3000000000,49,3.14159,0.00399622
3000000000,50,3.14159,0.00446769
